File name,Temperature (K),Light pixel to total pixel ratio,Number of peaks across vertical line profile,Avg peak spacing (nm),error on avg peak spacing (nm),Standard Deviation of Peak Spacing averaged over 4 line profiles(nm),error on std avg(nm)
OneView_200kV_10kX_FGT_A1_0029_061K_2.5by1.136um.png,61,0.541,4.5,141.153,6.386,20.572,5.396
OneView_200kV_10kX_FGT_A1_0042_140K_2.5by1.36um.png,140,0.534,5.0,130.092,9.611,24.566,10.025
OneView_200kV_10kX_FGT_A1_0036_103K_2.5by1.36um.png,103,0.536,4.75,137.222,9.783,50.825,15.276
OneView_200kV_10kX_FGT_A1_0010_017K_2.5by1.36um.png,17,0.52,3.5,215.087,50.677,21.799,13.513
OneView_200kV_10kX_FGT_A1_0038_124K_2.5by1.36um.png,124,0.54,4.0,156.86,1.49,44.331,14.148
OneView_200kV_10kX_FGT_A1_0012_019K_2.5by1.36um.png,19,0.533,3.25,171.027,13.823,29.277,10.126
OneView_200kV_10kX_FGT_A1_0046_156K_2.5by1.36um.png,156,0.535,5.75,109.751,12.31,38.681,3.628
OneView_200kV_10kX_FGT_A1_0019_037K_2.5by1.36um.png,37,0.528,2.75,188.17,11.431,12.25,6.617
OneView_200kV_10kX_FGT_A1_0032_080K_2.5by1.36um.png,80,0.544,5.25,122.629,11.127,32.1,8.277
